feature,importance
Permeability_mD,0.2797227124031299
Compressive_Strength_MPa,0.19869775625925737
Grain_Size_mm,0.18333251420747276
Water_Saturation,0.061162198577852586
Perforation_Density_spm,0.05935857139591784
Flow_Rate_m3day,0.051857459384756326
Reservoir_Pressure_bar,0.04241203834251065
Temperature_C,0.03223271808821188
Oil_Density_kgm3,0.030448733489559617
Cement_Quality,0.023609911992725222
Drawdown_Pressure_bar,0.010719099844033951
Porosity,0.00930199595198184
Cohesion_MPa,0.0069061223851290855
Completion_Type,0.006472557879072173
Oil_Viscosity_cp,0.002037703618383769
Friction_Angle_deg,0.000896761560289978
Clay_Content,0.0008311446197150049
