well_id,permeability_md,porosity_fraction,net_to_gross,thickness_ft,well_depth_ft,tubing_diameter_in,choke_size_64th,well_type,completion_type,artificial_lift,reservoir_pressure_psi,reservoir_temp_f,bottomhole_pressure_psi,wellhead_pressure_psi,oil_gravity_api,gas_oil_ratio_scf_bbl,water_cut_fraction,fvf_oil,oil_viscosity_cp,oil_rate_bbl_day,gas_rate_scf_day,water_rate_bbl_day,productivity_index,oil_price_usd_bbl,gas_price_usd_mcf,daily_opex_usd,drilling_cost_usd,completion_cost_usd,total_capex_usd,daily_revenue_usd,performance_index,oil_cut,profit_per_barrel,production_efficiency,economic_efficiency,ranking_score,drill_date,well_age_days,production_months,days_since_workover,pressure_drawdown,total_liquid_rate,productivity_factor,depth_category
1,1.2142529843551035,0.16788936801741416,0.6917222128179946,151.94537709686747,9794.947229968477,2.875,48.54249110610125,Vertical,Slotted Liner,Gas Lift,6318.135755561735,172.32086878234364,4626.014888400699,3700.81191072056,37.68915970420983,143.06172020981066,0.04806895863768348,1.1021459258031472,98.87519430254372,2.9423795647510715,420.9418820434823,0.14857901136721138,0.011711214714293055,105.76860370180503,2.5568612069613397,395.3687630919607,1848529.404022765,651544.4808352247,2500073.88485799,-83.08109499893277,74.74145261872526,0.6795402757487767,52.84657725760832,0.6805402757487767,1.0218030005950096,27.324418053812106,2021-10-16,1173,31.051161808342606,198.88051076714214,639.09824123408,11.102446312464158,2.038601661566374,Deep
2,0.6434896125657352,0.1780392263184117,0.736782749026601,37.321857199241215,7085.325643520927,2.875,14.751271318606655,Deviated,Perforated,Rod Pump,4383.532054067201,165.02549074189534,3148.9601152170185,2519.168092173615,33.18018992037274,137.6252182497191,0.021241025334338318,1.1020643782737458,100.0,1.9500000000000002,268.3691755869523,0.04231885290988584,0.0016055996741659083,88.60115900180313,3.324264438119232,334.17809216586113,1612884.1809257853,538173.4168962509,2151057.597822036,-160.51370200565395,50.45150743831105,0.8583931644377445,21.563031252979286,0.8593931644377445,0.32908039745350126,29.345274110928095,2016-12-10,2944,7.064711217802971,140.90494587173973,503.9832631723157,5.8248357306518335,1.1456639276513798,Medium
3,1.4121359906705182,0.20415256215876385,0.6294579079760384,88.64310446203326,7798.974249990623,2.875,58.53738520800714,Horizontal,Perforated,Rod Pump,4748.789491640639,156.61075285096425,3271.6163516603383,2617.293081328271,28.408516104224002,100.0,0.001013671954009897,1.1015000000000001,100.0,6.1693897033052165,616.9389703305217,0.00626007671972195,0.007153254421261775,62.55457499915277,3.9876208361668812,367.6447411125981,889147.344013541,462663.1574996916,1351810.5015132325,20.738928474542206,104.58099845691741,0.9932421869732674,39.26495804170947,0.9942421869732674,1.7001652783492394,42.95129214005043,2017-03-04,2860,21.224872117992373,322.04241235789596,685.7082247068615,15.926576676902572,2.8829118061199055,Medium
4,3.3886945658686187,0.20269010260174514,0.6898943185753339,16.308994920099877,8022.032292093796,2.875,11.720855283923393,Vertical,Open Hole,Gas Lift,5135.331555486455,190.30682632683127,3768.461884604142,3014.769507683314,29.24712438840651,100.0,0.014075157951119861,1.1015000000000001,100.0,1.9500000000000002,195.00000000000003,0.027838359473006884,0.0034614470346570874,77.32868087426898,2.2557010129270063,368.2380775199619,1371507.532313013,449980.2182904004,1821487.7506034134,-217.0072881176166,40.2635943124652,0.9061656136592009,3.71946119698328,0.9071656136592009,0.05151355403648178,29.94491193169019,2016-12-12,2942,13.91113654193575,30.0,510.9810783012372,5.517754599023934,6.868548492418865,Deep
5,0.5846520075035395,0.08111653160214544,0.4373946860086956,24.602937976317087,6822.65253037664,3.5,37.90217846267477,Vertical,Open Hole,Natural Flow,4277.154287403462,166.30514219650928,3172.0559407425917,2537.6447525940735,50.0,117.57515310949744,0.010457195078150175,1.1017636272966425,58.07466276664262,1.9500000000000002,229.27154856352,0.020607001227200127,0.0009832926480288448,68.91993857062677,3.6606760744925677,281.10121978705314,939519.9347689127,483014.76423222694,1422534.6990011397,-145.86805070194256,47.14212058012932,0.9302853661456655,12.6616636158701,0.9312853661456655,0.22971968776889548,31.20952736779423,2023-09-06,483,42.72432165956934,30.0,392.2392987602934,5.374694483286765,0.4742494304291863,Medium
6,0.5846616062669532,0.10310874800424386,0.817524062273196,139.00026440366756,8972.42065076579,3.5,15.95967893243363,Horizontal,Perforated,Rod Pump,5251.0597314394345,240.34392491762122,3938.2947985795763,3150.6358388636613,35.00546255165986,428.609469877674,0.02732900285557193,1.1064291420481651,76.09051791595596,1.9500000000000002,835.7884662614644,0.05478882472695698,0.007891627902554892,64.85520273292586,3.580632858115845,353.33811974201427,1556721.8137527609,663673.996183064,2220395.809935825,-223.8778227680788,34.71582757689971,0.8178066476295205,-4.946151607750178,0.8188066476295205,-0.07139159855705328,26.91332860984933,2022-01-30,1067,2.9075284703306687,146.47960278502185,437.58831095328605,6.113913234356399,0.6028372622833572,Deep
7,3.5845312863785987,0.175751763360433,0.6904374799585569,76.52886532669511,7818.577777088328,3.5,8.655570200930628,Horizontal,Perforated,Natural Flow,4917.610673401693,152.91876518918028,3646.074138830295,2916.859311064236,41.25704001225167,146.589380718102,0.017193206850142678,1.1021988407107717,96.21486848349541,1.9500000000000002,285.84929240029896,0.03411323515285364,0.01785993474749573,61.599279288760656,3.5330299644699514,291.3330785234781,827872.5587623318,481669.9290473803,1309542.487809712,-170.204569795022,40.383172292926446,0.8853786209990488,3.521192079745206,0.8863786209990488,0.06164105942831801,29.34967547818943,2022-04-02,1005,43.94519221830358,526.6454457509631,451.93475567111636,5.647300752594769,6.299876944016799,Medium
8,1.591774825514765,0.17568929754561044,0.6321423837375459,59.79958488007472,8629.298665860542,3.5,31.633918567147784,Horizontal,Perforated,ESP,4935.747142710372,205.74749621315271,3701.8103570327794,2961.448285626224,28.672804946659575,522.5302472836596,0.00310928458044618,1.107837953709255,100.0,2.123120640468243,1109.3947532769128,0.00662196923469933,0.005431483583049896,79.32216690759253,4.329727118926595,400.0179670568657,967490.2736573423,498020.5655479292,1465510.8392052716,-226.80406069983104,41.865179951114875,0.9792714361303588,6.847541554028071,0.9802714361303588,0.09490093554571098,32.498711330202,2023-10-23,436,40.15072451199102,96.50512798429635,411.31226189253084,5.559131781074758,2.7965780094547568,Deep
9,0.46206048390364346,0.17575238431530238,0.9399150141270256,177.33052061258127,6668.761733296849,2.875,24.52227962863275,Vertical,Perforated,ESP,4076.914625392039,147.19665681994636,3055.911293834179,2444.7290350673434,28.76117643022689,302.6183940496535,0.014642768172065002,1.1045392759107449,100.0,1.9500000000000002,590.1058683968243,0.02897768244403605,0.006972519560975544,68.18619764930426,3.767550811878817,379.72851018913644,845090.5300776942,451768.6429063697,1296859.1729840639,-244.54217092942022,34.411958725094344,0.9023815455195666,-7.048469902379803,0.9033815455195666,-0.09466551901576284,29.3893129558341,2019-09-14,1936,14.985823672718325,71.26630573085518,341.517560659187,5.540892856167932,0.8120823174394772,Medium
10,1.2712173066814993,0.3426365745327361,0.6334589353359895,39.83455683999186,7343.812549514884,4.5,35.21602765266577,Vertical,Perforated,Gas Lift,4414.803564307018,170.00989282384603,2689.134043392212,2151.3072347137695,43.655878473999536,100.0,0.042841317213878516,1.1015000000000001,76.06766607517271,1.9500000000000002,195.00000000000003,0.08727965674848671,0.003828367850759334,84.67826024025204,4.682457518685156,362.93708890768363,1118968.796913365,609898.3357441964,1728867.1326575615,-196.9014022230485,43.42743355372657,0.7143912185741432,12.083299347695661,0.7153912185741432,0.16979478966648875,24.528520418894107,2015-09-14,3397,38.09666076982392,167.9679815760207,989.8689268636367,6.998963412534811,4.355655434480796,Medium
